Gene	Subtype
MYD88	MCD
CD79B	MCD
PIM1	MCD
HLA-B	MCD
BTG1	MCD
CDKN2A	MCD
ETV6	MCD
SPIB	MCD
OSBPL10	MCD
TOX	MCD
BCL2	MCD
BTG2	MCD
MPEG1	MCD
HLA-A	MCD
HLA-C	MCD
SETD1B	MCD
KLHL14	MCD
TBL1XR1	MCD
GRHPR	MCD
PRDM1	MCD
CD58	MCD
BCL6	BN2
NOTCH2	BN2
TNFAIP3	BN2
DTX1	BN2
CD70	BN2
BCL10	BN2
UBE2A	BN2
BCL2	EZB
EZH2	EZB
TNFRSF14	EZB
KMT2D	EZB
CREBBP	EZB
REL	EZB
FAS	EZB
TET2	ST2
SGK1	ST2
DUSP2	ST2
ZFP36L1	ST2
ACTG1	ST2
ACTB	ST2
ITPKB	ST2
NFKBIA	ST2
TP53	A53
Chrom. 6q	A53
Chrom. 17p	A53
Chrom. 8p	A53
Chrom. 7p	A53
Chrom. 3q	A53
Chrom. 1p	A53
Chrom. 7q	A53
Chrom. 24p	A53
B2M	A53
Chrom. 24q	A53
Chrom. 2q	A53
Chrom. 4p	A53
Chrom. 11q	A53
NOTCH1	N1
IRF2BP2	N1
Chrom. 4p	N1
